SYMBOL,company,product,region,country,industry,sector,gics_sector
7550.T,"ZENSHO HOLDINGS CO.,LTD.",Equity,jp_topix_500,Japan,Restaurants,Retail Trade,Consumer Cyclical
7616.T,"COLOWIDE CO.,LTD.",Equity,jp_topix_500,Japan,Restaurants,Retail Trade,Consumer Cyclical
7649.T,"SUGI HOLDINGS Co.,LTD.",Equity,jp_topix_500,Japan,Pharmaceutical Retailers,Retail Trade,Healthcare
7701.T,Shimadzu Corporation,Equity,jp_topix_500,Japan,Scientific & Technical Instruments,Precision Instruments,Technology
7729.T,"TOKYO SEIMITSU CO.,LTD.",Equity,jp_topix_500,Japan,Semiconductor Equipment & Materials,Precision Instruments,Technology
7731.T,NIKON CORPORATION,Equity,jp_topix_500,Japan,Leisure,Precision Instruments,Consumer Cyclical
7733.T,OLYMPUS CORPORATION,Equity,jp_topix_500,Japan,Medical Devices,Precision Instruments,Healthcare
7735.T,"SCREEN Holdings Co.,Ltd.",Equity,jp_topix_500,Japan,Semiconductor Equipment & Materials,Electric Appliances,Technology
7741.T,HOYA CORPORATION,Equity,jp_topix_500,Japan,Medical Instruments & Supplies,Precision Instruments,Healthcare
7747.T,"ASAHI INTECC CO.,LTD.",Equity,jp_topix_500,Japan,Medical Instruments & Supplies,Precision Instruments,Healthcare
7751.T,CANON INC.,Equity,jp_topix_500,Japan,Computer Hardware,Electric Appliances,Technology
7752.T,"RICOH COMPANY,LTD.",Equity,jp_topix_500,Japan,Business Equipment & Supplies,Electric Appliances,Industrials
7832.T,Bandai Namco Holdings Inc.,Equity,jp_topix_500,Japan,Leisure,Other Products,Consumer Cyclical
7846.T,PILOT CORPORATION,Equity,jp_topix_500,Japan,Business Equipment & Supplies,Other Products,Industrials
7867.T,"TOMY COMPANY,LTD.",Equity,jp_topix_500,Japan,Leisure,Other Products,Consumer Cyclical
7911.T,TOPPAN Holdings Inc.,Equity,jp_topix_500,Japan,Conglomerates,Other Products,Industrials
7912.T,"Dai Nippon Printing Co.,Ltd.",Equity,jp_topix_500,Japan,Conglomerates,Other Products,Industrials
7936.T,ASICS Corporation,Equity,jp_topix_500,Japan,Footwear & Accessories,Other Products,Consumer Cyclical
7951.T,YAMAHA CORPORATION,Equity,jp_topix_500,Japan,Leisure,Other Products,Consumer Cyclical
7956.T,PIGEON CORPORATION,Equity,jp_topix_500,Japan,Household & Personal Products,Other Products,Consumer Defensive
7974.T,"Nintendo Co.,Ltd.",Equity,jp_topix_500,Japan,Electronic Gaming & Multimedia,Other Products,Communication Services
7984.T,"KOKUYO CO.,LTD.",Equity,jp_topix_500,Japan,Business Equipment & Supplies,Other Products,Industrials
7988.T,NIFCO INC.,Equity,jp_topix_500,Japan,Auto Parts,Chemicals,Consumer Cyclical
8001.T,ITOCHU Corporation,Equity,jp_topix_500,Japan,Conglomerates,Wholesale Trade,Industrials
8002.T,Marubeni Corporation,Equity,jp_topix_500,Japan,Conglomerates,Wholesale Trade,Industrials
8012.T,"NAGASE & CO.,LTD.",Equity,jp_topix_500,Japan,Specialty Chemicals,Wholesale Trade,Basic Materials
8015.T,TOYOTA TSUSHO CORPORATION,Equity,jp_topix_500,Japan,Conglomerates,Wholesale Trade,Industrials
